Muito_baixo;baixo;moderado;alto;muito_alto;regiao;fx_etaria;escala
7;64;122;176;234;BA;0 a 12 anos;casos
6;22;34;49;73;BA;13 anos ou mais;casos
18;56;89;132;202;CE;0 a 12 anos;casos
4;22;38;61;87;CE;13 anos ou mais;casos
2;35;70;107;159;DF;0 a 12 anos;casos
1;15;31;45;65;DF;13 anos ou mais;casos
2;15;31;48;70;ES;0 a 12 anos;casos
1;12;22;34;51;ES;13 anos ou mais;casos
4;33;68;106;148;GO;0 a 12 anos;casos
4;24;43;65;114;GO;13 anos ou mais;casos
1;13;26;44;84;MA;0 a 12 anos;casos
1;8;17;37;78;MA;13 anos ou mais;casos
18;122;247;424;662;MG;0 a 12 anos;casos
31;119;202;343;595;MG;13 anos ou mais;casos
2;33;65;101;151;MS;0 a 12 anos;casos
2;28;54;91;162;MS;13 anos ou mais;casos
1;8;18;30;49;MT;0 a 12 anos;casos
1;6;12;22;35;MT;13 anos ou mais;casos
1;20;38;58;100;PA;0 a 12 anos;casos
4;17;27;40;56;PA;13 anos ou mais;casos
1;22;50;76;106;PB;0 a 12 anos;casos
1;12;21;31;45;PB;13 anos ou mais;casos
10;47;80;121;168;PE;0 a 12 anos;casos
3;25;43;69;105;PE;13 anos ou mais;casos
1;4;9;15;24;PI;0 a 12 anos;casos
1;6;11;15;21;PI;13 anos ou mais;casos
15;89;171;238;319;PR;0 a 12 anos;casos
25;91;159;276;447;PR;13 anos ou mais;casos
4;68;139;218;357;RJ;0 a 12 anos;casos
3;34;60;85;151;RJ;13 anos ou mais;casos
1;14;24;37;56;RN;0 a 12 anos;casos
1;8;13;20;32;RN;13 anos ou mais;casos
1;5;11;18;26;RO;0 a 12 anos;casos
1;5;8;12;19;RO;13 anos ou mais;casos
1;8;16;24;33;RR;0 a 12 anos;casos
1;3;5;11;17;RR;13 anos ou mais;casos
3;45;96;146;232;RS;0 a 12 anos;casos
10;62;104;156;274;RS;13 anos ou mais;casos
4;50;100;151;213;SC;0 a 12 anos;casos
1;41;62;100;163;SC;13 anos ou mais;casos
1;22;44;64;104;SE;0 a 12 anos;casos
1;6;9;13;19;SE;13 anos ou mais;casos
48;231;428;587;797;SP;0 a 12 anos;casos
37;202;343;482;733;SP;13 anos ou mais;casos
1;3;6;10;15;TO;0 a 12 anos;casos
1;3;5;8;13;TO;13 anos ou mais;casos
